dataset,comparison,metric,delta_pp,cells,domains,improved_cells,worse_cells,tied_cells,improved_domains,worse_domains,cell_ci_low_pp,cell_ci_high_pp,domain_ci_low_pp,domain_ci_high_pp,median_cell_delta_pp,bootstrap_reps,excluded_no_low_soh_cells
XJTU,B1234-B,mae,-0.3739639483455397,55,6,37,18,0,4,2,-0.500078614354251,-0.2487329772061867,-1.1125263183474854,0.3646380958929334,-0.5336848530020784,5000,0
XJTU,B123-B12,mae,-0.010792967771555,55,6,22,18,15,4,1,-0.0410627718693017,0.0144933535051394,-0.1150184186443653,0.1064910251806242,0.0,5000,0
XJTU,B1234-B123,mae,-0.0083286709577061,55,6,16,8,31,2,1,-0.0152938247519179,-0.0013352759600568,-0.0339833867784951,0.014645645300461,0.0,5000,0
MATR,B1234-B,mae,-0.7663279225795521,180,4,120,60,0,4,0,-0.9731512016747113,-0.5625132812130197,-1.109838638802731,-0.4574944457452378,-0.3960198643173411,5000,0
MATR,B123-B12,mae,-0.0339260050747695,180,4,89,46,45,2,1,-0.063878659132135,0.0058279686276997,-0.1261179067826183,0.0464606173404417,0.0,5000,0
MATR,B1234-B123,mae,-0.0314634873764845,180,4,57,35,88,1,1,-0.0447313894752673,-0.0196405540196342,-0.0976779817183598,0.0032875195889063,0.0,5000,0
Tongji,B1234-B,mae,-3.818672682417886,130,11,123,7,0,10,1,-4.027218617983346,-3.623251993870097,-5.312989586110395,-2.336877870192248,-5.699345525994237,5000,0
Tongji,B123-B12,mae,-0.2182503769144301,130,11,72,38,20,6,2,-0.2629633529782539,-0.1770756954067945,-0.3688457941046484,-0.0688103629588651,-0.0532880624867779,5000,0
Tongji,B1234-B123,mae,-0.2274560931903375,130,11,92,38,0,10,1,-0.2728285835638329,-0.1821330011763773,-0.3372226235702285,-0.1244449298647893,-0.1463517355338812,5000,0
