source_fold,cell,group,n,pred_range_pp,pred_sd_pp,y_range_pp,y_sd_pp,constant_within_1e_8_pp,mae,rmse,p95_ae
XJTU__2C,CS2_5,B,59,0.0,0.0,5.423128604888916,1.5143474477755627,True,3.5238220530041193,3.8354360969546253,5.733107924461365
XJTU__2C,CS2_5,B1,59,0.0,0.0,5.423128604888916,1.5143474477755627,True,3.8690283136852717,4.154831920148234,6.078314185142517
XJTU__2C,CS2_5,B12,59,0.6563399897765665,0.21183945075195096,5.423128604888916,1.5143474477755627,False,3.3488008280903707,3.6288129658698076,5.385875808230321
XJTU__2C,CS2_5,B123,59,0.8021661479980291,0.230954617889194,5.423128604888916,1.5143474477755627,False,3.289741863746011,3.561672177767368,5.244454480170098
XJTU__2C,CS2_5,B1234,59,0.7825866869485165,0.22269530192929288,5.423128604888916,1.5143474477755627,False,3.312968459185964,3.586064325221826,5.279400212296657
XJTU__2C,CS2_6,B,55,0.0,0.0,35.4189932346344,11.647907691817144,True,15.608621077104049,19.475697818710113,34.61706280708313
XJTU__2C,CS2_6,B1,55,0.0,0.0,35.4189932346344,11.647907691817144,True,14.717671708627181,18.769219859120888,33.72611343860626
XJTU__2C,CS2_6,B12,55,0.3910126551534887,0.11539801670134944,35.4189932346344,11.647907691817144,False,14.66595160704279,18.684371282836764,33.588295724475756
XJTU__2C,CS2_6,B123,55,0.5266703740756995,0.15778637186947383,35.4189932346344,11.647907691817144,False,14.5232067130134,18.54614612894374,33.37721940527522
XJTU__2C,CS2_6,B1234,55,0.4994617114825295,0.14615422332889572,35.4189932346344,11.647907691817144,False,14.52811150264747,18.555355085854693,33.39396788767232
XJTU__2C,CX2_3,B,1750,0.0,0.0,60.35713851451874,13.632691845866793,True,24.745289082186563,28.252072821747866,50.21076962351799
XJTU__2C,CX2_3,B1,1750,0.0,0.0,60.35713851451874,13.632691845866793,True,24.269018168108804,27.83586768556637,49.73449870944023
XJTU__2C,CX2_3,B12,1750,0.6686373048442773,0.06932731653779958,60.35713851451874,13.632691845866793,False,24.100254745580656,27.67452261198628,49.546187710172184
XJTU__2C,CX2_3,B123,1750,0.7961793641943826,0.10146216647323743,60.35713851451874,13.632691845866793,False,23.913324531731053,27.500342790844098,49.34142088857091
XJTU__2C,CX2_3,B1234,1750,0.7726926236901854,0.09726337126934077,60.35713851451874,13.632691845866793,False,23.942697373514022,27.526605678753437,49.37164301218458
XJTU__2C,PL11,B,870,0.0,0.0,21.94696068763733,6.184452035592647,True,9.404974285213427,11.256153352103544,20.00204652547836
XJTU__2C,PL11,B1,870,0.0,2.220446049250313e-14,21.94696068763733,6.184452035592647,True,9.253109994976002,11.129577330683803,19.850182235240936
XJTU__2C,PL11,B12,870,0.420635499398081,0.03900892111379516,21.94696068763733,6.184452035592647,False,8.90092159215201,10.830934621922248,19.470516779679244
XJTU__2C,PL11,B123,870,0.5727663757838286,0.04766002522528443,21.94696068763733,6.184452035592647,False,8.727908096263644,10.684693139993684,19.29036312404935
XJTU__2C,PL11,B1234,870,0.5368580763404185,0.045027171127454114,21.94696068763733,6.184452035592647,False,8.75492498372769,10.707466446216204,19.319111136879183
XJTU__2C,PL12,B,972,0.0,0.0,70.89278101921082,12.610177236830344,True,15.592873501188961,19.747741831887083,39.15964007377623
XJTU__2C,PL12,B1,972,0.0,1.1102230246251565e-14,70.89278101921082,12.610177236830344,True,18.273684509987692,22.092401443872188,42.10232496261595
