domain,cells,mae_pp_B,mae_pp_full,delta_full_minus_B_pp,contribution_to_equal_protocol_mean_delta_pp
CS2_low_SOC_RPT_0.22A,2,9.489010819485085,8.864805477312123,-0.6242053421729619,-0.15605133554324047
CX2_alternating_pulse_full_reference,1,24.66734211161023,24.015610422760275,-0.6517316888499529,-0.16293292221248823
PL_full_SOC_0.5C,2,8.820614948999916,8.374374850685271,-0.44624009831464484,-0.11156002457866121
PL_full_SOC_2C,2,11.966132774869507,13.872136279251798,1.9060035043822907,0.4765008760955727
