dataset,group,mae,rmse,p95_ae,low_mae,low_rmse,low_p95_ae
MATR,B,2.6862495902500902,3.621184371582492,7.218171769850301,5.257102589787836,5.862517539467001,9.090782697193815
MATR,B1,2.183739348951797,3.1234037930305707,6.684061301024409,5.3075600545833375,5.789540234656459,8.567165225754703
MATR,B2,2.1611248667437564,2.8884886094726006,5.867448161095073,4.462671399496969,4.822587192822167,6.894960193390613
MATR,B12,1.9853111601217923,2.6865948978888983,5.569067771479617,4.290374907033376,4.607343448138965,6.5242188478037715
MATR,B3,2.5715469488041878,3.466125714009769,6.909126414298219,4.993056411567478,5.571989981703603,8.695483352416774
MATR,B13,2.104127183180302,2.997914441735726,6.377159483769022,5.018677461066489,5.486142140343135,8.189472666423072
MATR,B23,2.1171698751261525,2.813693196599794,5.662843847458819,4.268477793952007,4.623830691572412,6.670151644183446
MATR,B123,1.9513851550470225,2.6258493586606333,5.385042910626107,4.115260920191083,4.4322179389463665,6.324385892251244
MATR,B4,2.6115996425780583,3.526990468794844,7.055081065442713,5.132460091743768,5.714566411950727,8.839609192489085
MATR,B14,2.13321253619973,3.048994212091125,6.501588526594439,5.1574993341919,5.626350083260592,8.321235091130387
MATR,B24,2.1152876900434743,2.8146828542734825,5.67650431563306,4.319298034338241,4.669749297660703,6.687696830785227
MATR,B124,1.946679370092216,2.627411061565256,5.414234032766821,4.167835962849237,4.478283409558253,6.349730135421232
MATR,B34,2.509091114319299,3.387760410853895,6.771773562720379,4.890951880806435,5.45020908350154,8.482555209262292
MATR,B134,2.0635171394900125,2.937110576321584,6.229631500913706,4.893509819401806,5.350556800833025,7.980146464723412
MATR,B234,2.0792031543850373,2.7520094774082158,5.5018427099118705,4.150866876409424,4.496806784504761,6.4904023482104884
MATR,B1234,1.919921667670538,2.5773046048826873,5.258278574056611,4.016108233149407,4.32695388015623,6.186380807054316
Tongji,B,6.669480265471827,8.23449222300741,15.231238431925595,8.242745244363329,9.374148672193316,15.478614452490826
Tongji,B1,5.38813549233913,6.49510604158173,11.330892477372895,6.85558827334843,7.669479766639255,11.964720721699969
Tongji,B2,3.597430537671245,4.387608032276176,7.313402585932814,5.100730220451061,5.500147782390933,7.702062985586014
Tongji,B12,3.2965140531587083,4.077647512592361,6.904843982436819,4.7558557831443276,5.142962132861002,7.331408737802391
Tongji,B3,5.845875503743773,7.233759071121137,13.347729642387504,7.312472623359088,8.282120261196896,13.541969467906949
Tongji,B13,4.934629398881305,5.962388244660213,10.31282015308398,6.39816025421858,7.1068301597463375,10.871483811212151
Tongji,B23,3.3150830591817257,4.07626917033143,6.8063257848611105,4.769588127154093,5.145882816206145,7.205142352173664
Tongji,B123,3.078263676244278,3.8408007654297154,6.484002868327168,4.495662905802514,4.8614015336837815,6.900883471689735
Tongji,B4,5.871394877997108,7.268247106966796,13.417527882864652,7.337326946393751,8.333161497636063,13.67245782218032
Tongji,B14,4.722380980355111,5.719463644345685,9.912111891700137,6.080387177187934,6.786620211413296,10.469945078225226
Tongji,B24,3.251597890695361,3.994623569469663,6.613257996270389,4.642089414813999,5.0119508286634025,7.005051125919311
Tongji,B124,3.0142898578889756,3.747437765476342,6.286389406551684,4.366981897694398,4.723804858001907,6.69636192372509
Tongji,B34,5.182491430640496,6.432542290221813,11.837146379745521,6.565496674224457,7.420283269512481,12.056472759577275
Tongji,B134,4.362585516463361,5.2968353883715915,9.088463219141559,5.725155681883562,6.339079834231104,9.588029802865409
Tongji,B234,3.036414033207318,3.7574730391578544,6.2138528101550214,4.38618383812402,4.736974298852726,6.610204115905822
Tongji,B1234,2.8508075830539408,3.5726408035322916,5.9562594744267106,4.1693369915752445,4.5105194158029684,6.358680098031768
XJTU,B,3.011538768507011,3.8270559760611946,7.230999424484277,6.2969412302941175,6.864385747099142,9.854869528903244
XJTU,B1,2.922438798325432,3.728246017584405,7.212394399545051,6.72734249032463,7.23920325570428,10.059312644780258
XJTU,B2,2.936604714727192,3.6885219366866675,7.061936910409792,6.147489553999374,6.565385637699339,9.032508174742913
XJTU,B12,2.656696458890733,3.349614023225021,6.371277260808374,5.854285990358757,6.279387692359758,8.689840579352769
XJTU,B3,2.947970400786032,3.716642581378803,6.96289909150902,6.080291924399815,6.597763985186231,9.351047224261764
XJTU,B13,2.832528112316986,3.5723409497487197,6.804137269953209,6.34019666835517,6.828857523573959,9.475942620878493
XJTU,B23,2.903303976293928,3.624802617055863,6.873810952363879,6.063511859335712,6.450037791752241,8.81767517937719
XJTU,B123,2.645903491119178,3.306748254191419,6.270075949399074,5.749257140675354,6.157935919064534,8.498656612750883
XJTU,B4,3.006713265851035,3.8056550320055025,7.16915368250649,6.263617859180673,6.8071594371999815,9.708410645624227
XJTU,B14,2.884038069771187,3.6648125477961018,7.063246049771673,6.591376933662565,7.089008171333211,9.835438680201598
XJTU,B24,2.9164869609343733,3.6560049708186817,6.9686852488169775,6.150897061251906,6.556447245479091,8.993674343077785
XJTU,B124,2.640271843506427,3.3198087398171077,6.297620245485387,5.820577756835856,6.239395217182093,8.63301397112573
XJTU,B34,2.946048724942015,3.701245870386087,6.907262740890306,6.0538537558821295,6.5589120953767965,9.259591701711859
XJTU,B134,2.8013921990294612,3.522071143182902,6.6851724166322635,6.221937871503921,6.702147980576829,9.305178651183978
XJTU,B234,2.8913129412157006,3.5985641556384516,6.800032773887174,6.067727038039372,6.443535688135142,8.791158187814982
XJTU,B1234,2.637574820161472,3.2840518785382407,6.206306310275444,5.72600741840715,6.129028827020666,8.443142085655232
