dataset,group,cells,domains,points,mae,rmse,p95_ae,bias,bias_fraction,top5_error_share
MATR,B13__wave_absolute_pca8__0.5,180,4,150665,2.1168347136998813,3.0100560012462827,6.383911853783311,0.370615962161451,0.7551082691232613,0.18518350101632347
MATR,B13__wave_absolute_pca8__0.75,180,4,150665,2.0906928609119353,2.962825687796699,6.246040051135707,0.35697003479367484,0.7466327014988979,0.18380518637847518
MATR,B13__wave_absolute_pca8__1,180,4,150665,2.069476681740446,2.923105302323399,6.135129572236558,0.3433241074258986,0.7371655635251516,0.18230067732303545
MATR,B13__wave_absolute_pls4__0.25,180,4,150665,2.1667808975082026,3.0794601437350346,6.565297536765702,0.3337172653619417,0.7697518513606746,0.18711544562678123
MATR,B13__wave_absolute_pls4__0.5,180,4,150665,2.1868490432636793,3.087428705059009,6.562856584070689,0.2695267138268801,0.7767824663262061,0.18777073834333952
MATR,B13__wave_absolute_pls4__0.75,180,4,150665,2.23490685911376,3.145006843823347,6.695383453143892,0.20533616229181856,0.7806613176506964,0.19016303613673344
MATR,B13__wave_absolute_pls4__1,180,4,150665,2.3063993360623476,3.2439196900951957,6.898558072652459,0.14114561075675697,0.777416172430621,0.1932283606830476
MATR,B13__wave_pair_pca8__0.25,180,4,150665,2.1411685456368748,3.0574496526682235,6.522234306017356,0.3921417757036053,0.7614698769257205,0.186990939359876
MATR,B13__wave_pair_pca8__0.5,180,4,150665,2.104127183180302,2.997914441735725,6.377159483769021,0.386375734510207,0.758224620468946,0.18673492573024686
MATR,B13__wave_pair_pca8__0.75,180,4,150665,2.0725059864645523,2.9455914541087624,6.250521343386707,0.380609693316809,0.7508124399668158,0.1868922159827334
MATR,B13__wave_pair_pca8__1,180,4,150665,2.045798064352698,2.9009197784617067,6.138127168367862,0.3748436521234108,0.7431546416086064,0.187471788493466
MATR,B13__wave_pair_pls4__0.25,180,4,150665,2.183685472966686,3.1148043131877534,6.655474972462957,0.4035436164269941,0.7639012571322848,0.18714307623462464
MATR,B13__wave_pair_pls4__0.5,180,4,150665,2.187676125566341,3.111290131624153,6.647503618796198,0.4091794159569848,0.7647654267441373,0.18719450118959333
MATR,B13__wave_pair_pls4__0.75,180,4,150665,2.1946002718879356,3.1125655400729073,6.646987085252292,0.41481521548697575,0.7644086167332047,0.18754205414223105
MATR,B13__wave_pair_pls4__1,180,4,150665,2.203910477047976,3.1183240647893093,6.654532305088246,0.4204510150169664,0.7647297584369486,0.18818431156650395
MATR,B2,180,4,150665,2.1611248667437564,2.8884886094726006,5.867448161095073,0.4670173270829675,0.7738589834957326,0.16019153441436276
MATR,B23__wave_absolute_pca8__0.25,180,4,150665,2.1186247504109086,2.8158005745228354,5.686587868770792,0.4264758410349419,0.7716751722722626,0.1585320723857516
MATR,B23__wave_absolute_pca8__0.5,180,4,150665,2.0836757048624666,2.752039896225179,5.5239157879931415,0.38593435498691603,0.7648768367724328,0.156352908484412
MATR,B23__wave_absolute_pca8__0.75,180,4,150665,2.055740013559017,2.698581191558761,5.380374102262712,0.34539286893889026,0.7590428251264403,0.15409237637816772
MATR,B23__wave_absolute_pca8__1,180,4,150665,2.034845620780798,2.6561616112076596,5.252311589067577,0.30485138289086455,0.7565726496502254,0.15234753903252962
MATR,B23__wave_absolute_pls4__0.25,180,4,150665,2.1443241534308446,2.856599739770468,5.767842596092702,0.40299122771531487,0.7719441482300374,0.16026887942445397
MATR,B23__wave_absolute_pls4__0.5,180,4,150665,2.158280721363691,2.8726371878595014,5.7974023976585585,0.3389651283476623,0.7598043856250929,0.16243182244984172
MATR,B23__wave_absolute_pls4__0.75,180,4,150665,2.189695947657764,2.9413906597264443,6.00783716116494,0.27493902898000966,0.7558732022631618,0.16795409603493905
MATR,B23__wave_absolute_pls4__1,180,4,150665,2.240037054207946,3.0521534559163834,6.318494958277583,0.2109129296123568,0.75532775916673,0.17399704020758344
MATR,B23__wave_pair_pca8__0.25,180,4,150665,2.137447989180318,2.8482158579322276,5.75774072873443,0.45522656621869334,0.7742223034929292,0.1591910808339399
MATR,B23__wave_pair_pca8__0.5,180,4,150665,2.1171698751261525,2.813693196599794,5.662843847458819,0.4434358053544189,0.7714074161994262,0.1589743798040677
MATR,B23__wave_pair_pca8__0.75,180,4,150665,2.100497439725367,2.785452931783396,5.5777038763903874,0.43164504449014457,0.7654187355888042,0.15931390938619697
MATR,B23__wave_pair_pca8__1,180,4,150665,2.0875615634307727,2.763525646888195,5.509743044175555,0.41985428362587024,0.759266099389651,0.16005717177934353
MATR,B23__wave_pair_pls4__0.25,180,4,150665,2.173445117874584,2.90109951597957,5.883122604235927,0.47899049211823885,0.7771746426481378,0.15938631666818864
MATR,B23__wave_pair_pls4__0.5,180,4,150665,2.1878366091257915,2.918386741904078,5.916500861373386,0.4909636571535099,0.7785645301806046,0.15959051117500062
MATR,B23__wave_pair_pls4__0.75,180,4,150665,2.2043518728322145,2.939919720703254,5.958580755348545,0.5029368221887811,0.7765058356097503,0.16023079845167332
MATR,B23__wave_pair_pls4__1,180,4,150665,2.222851624345934,2.9652603991532915,6.009603448876552,0.5149099872240525,0.7717599972489395,0.16134173835246424
MATR,B3__wave_absolute_pca8__0.25,180,4,150665,2.61190578406704,3.5231918916029326,7.028585156527858,0.34339244581499623,0.7389527469678648,0.17610804305650934
MATR,B3__wave_absolute_pca8__0.5,180,4,150665,2.5426161890095416,3.4312520554346033,6.841237904617903,0.3501480399575939,0.7361755701246845,0.17555949958533132
MATR,B3__wave_absolute_pca8__0.75,180,4,150665,2.4794158891958005,3.3468813198766854,6.6663882446119125,0.3569036341001916,0.7329289086584537,0.17481796558617807
MATR,B3__wave_absolute_pca8__1,180,4,150665,2.425019270986623,3.2721206364935176,6.509129188379383,0.3636592282427892,0.7272659581027979,0.17350004180578082
MATR,B3__wave_absolute_pls4__0.25,180,4,150665,2.5986075778107485,3.5002552625639423,6.976338850976798,0.2582223383046959,0.7420545755466403,0.17627244117304894
MATR,B3__wave_absolute_pls4__0.5,180,4,150665,2.5458134327992425,3.4363888047719064,6.893558935290164,0.17980782493699304,0.7363486875075997,0.17801544844855707
MATR,B3__wave_absolute_pls4__0.75,180,4,150665,2.53708208289293,3.4365356099705897,6.914183808282354,0.10139331156928999,0.7372053118411669,0.1812927557841706
MATR,B3__wave_absolute_pls4__1,180,4,150665,2.589855339852205,3.5071208089471884,7.080027478662865,0.02297879820158727,0.7510692135495911,0.18290116416410895
MATR,B3__wave_pair_pca8__0.25,180,4,150665,2.62681246006423,3.5403223229854484,7.059465788445978,0.34111966919139347,0.7383209184733783,0.17526221613094953
MATR,B3__wave_pair_pca8__0.5,180,4,150665,2.5715469488041878,3.466125714009769,6.909126414298219,0.3456024867103883,0.7324764765488994,0.1745057387622824
MATR,B3__wave_pair_pca8__0.75,180,4,150665,2.5205603878357277,3.3996761050499766,6.780746917535336,0.35008530422938333,0.7275368398664351,0.1748094868885708
MATR,B3__wave_pair_pca8__1,180,4,150665,2.4742711373054616,3.341456169421474,6.670919880142222,0.35456812174837826,0.724816355573593,0.17553319922052366
