dataset,domain,group,mae,rmse,p95_ae,low_mae,low_rmse,low_p95_ae
MATR,b4,B23,1.8308560902005457,2.4865330629752425,5.186733527195425,3.121720404705231,3.7528137007502815,6.3334805810767385
MATR,b4,B123,1.7884663769950069,2.451090714007974,5.1946237599465,3.233460284365,3.8397583972391116,6.3667236516120855
MATR,b4,B4,2.647704663359945,3.839040478850245,7.999846535551704,4.749804895448134,5.977407018324512,11.145558064353056
MATR,b4,B14,2.127780879307349,3.325494669126117,7.499098484609779,5.133558974970735,6.1209980174890335,10.568273675988515
MATR,b4,B24,1.8308560902005457,2.4865330629752425,5.186733527195425,3.121720404705231,3.7528137007502815,6.3334805810767385
MATR,b4,B124,1.7884663769950069,2.451090714007974,5.1946237599465,3.233460284365,3.8397583972391116,6.3667236516120855
MATR,b4,B34,2.647704663359945,3.839040478850245,7.999846535551704,4.749804895448134,5.977407018324512,11.145558064353056
MATR,b4,B134,2.127780879307349,3.325494669126117,7.499098484609779,5.133558974970735,6.1209980174890335,10.568273675988515
MATR,b4,B234,1.8308560902005457,2.4865330629752425,5.186733527195425,3.121720404705231,3.7528137007502815,6.3334805810767385
MATR,b4,B1234,1.7884663769950069,2.451090714007974,5.1946237599465,3.233460284365,3.8397583972391116,6.3667236516120855
MATR,b1,B,2.7177080396847337,3.677480111916556,7.177967115248559,5.536997587215668,6.135987030199238,9.597711455504697
MATR,b1,B1,1.97673673147795,3.0282189083977413,6.890338888488839,5.9536416472324785,6.403955368511793,9.391904973475175
MATR,b1,B2,1.9443723912460682,3.131305073856083,7.293274919513827,6.207647732263767,6.580363261196907,8.95148054136535
MATR,b1,B12,1.737672065954542,2.7260536927565546,6.205098242553668,5.308265712841246,5.548775443930677,7.448022913455528
MATR,b1,B3,2.4248914416930276,3.300765676473565,6.472537102137238,4.98363374818456,5.4984436686136675,8.578489105859399
MATR,b1,B13,1.7621263941433805,2.719558513116753,6.161797093604778,5.3280445182189435,5.723765508415656,8.395625603059194
MATR,b1,B23,1.7626410817826943,2.838297462043239,6.549883426234398,5.580316276167013,5.92399250617769,8.098504253511573
MATR,b1,B123,1.5695148569110504,2.474859104698791,5.558779415772012,4.755487768050828,4.985697231287815,6.70556197822362
MATR,b1,B4,2.4348406002963516,3.316060158194301,6.513829943274762,5.014586730952177,5.526055996118745,8.570961564268353
MATR,b1,B14,1.7869836746763519,2.742993037555067,6.169625632716187,5.335454227729068,5.735081599705033,8.397667326193405
MATR,b1,B24,1.76180477678032,2.834711061787147,6.525230299761275,5.599381920596398,5.939497200227284,8.095928117616515
MATR,b1,B124,1.5821285150746487,2.4865693932029584,5.580349631745886,4.783591880662321,5.005509293843048,6.728371228037349
MATR,b1,B34,2.1818890820636057,2.9906535951120294,5.899313105599883,4.532995941299751,4.975169691158259,7.682707417711807
MATR,b1,B134,1.6032392241134983,2.4776902253311213,5.560623436851747,4.788779453746967,5.146277845062948,7.5338388672967245
