dataset,group,mae_pp,gain_vs_B_pp,relative_reduction_vs_B_pct,fraction_of_full_gain_pct,single_query_ms
XJTU,B,3.011538768507011,0.0,0.0,0.0,1.0340261893967788
XJTU,B1,2.922438798325432,0.08909997018157911,2.95861939794157,23.825818123850688,1.567168937375148
XJTU,B12,2.656696458890733,0.35484230961627805,11.782757483550288,94.88676948303237,8.791464380919933
XJTU,B123,2.645903491119178,0.3656352773878333,12.14114462717341,97.77286794768507,11.53551647439599
XJTU,B1234,2.637574820161472,0.37396394834553925,12.417703277017225,100.0,15.399475737164416
MATR,B,2.6862495902500902,0.0,0.0,0.0,0.7673054933547974
MATR,B1,2.183739348951797,0.5025102412982934,18.706759160510828,65.57378721197881,2.002463210374117
MATR,B12,1.9853111601217923,0.7009384301282979,26.093570481030408,91.4671656187151,5.767688155174255
MATR,B123,1.9513851550470225,0.7348644352030678,27.356521071992113,95.89425278011863,6.838551489636302
MATR,B1234,1.919921667670538,0.7663279225795523,28.527800445684093,100.0,8.832861669361591
Tongji,B,6.669480265471827,0.0,0.0,0.0,0.736479986120354
Tongji,B1,5.38813549233913,1.2813447731326972,19.21206334122123,33.554715988943634,1.382553441957994
Tongji,B12,3.2965140531587083,3.3729662123131186,50.57314930182946,88.32823582505748,6.782169961793856
Tongji,B123,3.078263676244278,3.5912165892275487,53.84552388316409,94.04358236207042,9.371714835817164
Tongji,B1234,2.8508075830539408,3.818672682417886,57.255925955539766,100.0,14.25956485962326
